Chat Session,Message Date,Delivered Date,Read Date,Edited Date,Service,Type,Sender ID,Sender Name,Status,Replying to,Subject,Text,Attachment,Attachment type
Apple,2023-09-06 18:02:13,2023-09-06 18:02:13,,,iMessage,Outgoing,,,Delivered,,,"Hello, my headphones are connecting to my iPhone even while still in the case. I don’t believe the case is working properly as it doesn’t close all the way",,
Apple,2023-09-06 18:02:15,,2023-09-06 18:02:16,,iMessage,Incoming,urn:biz:b15ed773-9eed-11e7-baa2-7b88b04daa8e,,Read,,,"Let me connect you to someone who can help. If you need to step away, don't worry. We'll send you a message when we're ready for you.",,
Apple,2023-09-06 18:02:15,,2023-09-06 18:02:16,,iMessage,Incoming,urn:biz:b15ed773-9eed-11e7-baa2-7b88b04daa8e,,Read,,,"Apple may record, use, and keep a transcript of this conversation to provide the support you have requested, for quality control and training purposes, and to improve contact center technologies.",,
Apple,2023-09-06 18:04:46,,2023-09-06 18:04:50,,iMessage,Incoming,urn:biz:b15ed773-9eed-11e7-baa2-7b88b04daa8e,,Read,,,"Hello! I hope you are doing well. I understand that your Beats stay on, even after placing them in their case, is that right?",,
Apple,2023-09-06 18:04:59,2023-09-06 18:04:59,,,iMessage,Outgoing,,,Delivered,,,Correct,,
Apple,2023-09-06 18:05:26,,2023-09-06 18:05:34,,iMessage,Incoming,urn:biz:b15ed773-9eed-11e7-baa2-7b88b04daa8e,,Read,,,"Thank you for confirming. I know how important it is to get this situation addressed, so I would be happy to look into this for you and see what I can do to help. Let’s get started by going over just a few pieces of information so we can find the best possible solution.",,
Apple,2023-09-06 18:05:34,,2023-09-06 18:05:34,,iMessage,Incoming,urn:biz:b15ed773-9eed-11e7-baa2-7b88b04daa8e,,Read,,,"May I have the serial number to the device? Please use this article to help you locate it:  

https://support.apple.com/kb/HT204196 ",,
Apple,2023-09-06 18:06:32,2023-09-06 18:06:32,,,iMessage,Outgoing,,,Delivered,,,🅛 H2DJY4BSMF30,,
Apple,2023-09-06 18:06:53,2023-09-06 18:06:53,,,iMessage,Outgoing,,,Delivered,,,H2DK1670LN3L,,
Apple,2023-09-06 18:07:22,,2023-09-06 18:07:22,,iMessage,Incoming,urn:biz:b15ed773-9eed-11e7-baa2-7b88b04daa8e,,Read,,,Thank you. The correct on is the last one.,,
Apple,2023-09-06 18:07:30,2023-09-06 18:07:30,,,iMessage,Outgoing,,,Delivered,,,Liked “Thank you. The correct on is the last one.”,,
Apple,2023-09-06 18:07:34,,2023-09-06 18:07:35,,iMessage,Incoming,urn:biz:b15ed773-9eed-11e7-baa2-7b88b04daa8e,,Read,,,What iPhone model are your Beats paired with?,,
Apple,2023-09-06 18:08:01,2023-09-06 18:08:01,,,iMessage,Outgoing,,,Delivered,,,iPhone 13,,
Apple,2023-09-06 18:08:26,,2023-09-06 18:08:26,,iMessage,Incoming,urn:biz:b15ed773-9eed-11e7-baa2-7b88b04daa8e,,Read,,,Can you tell me what iOS version you’re using on your iPhone? You can find this by going to Settings > General > About > Software Version.,,
Apple,2023-09-06 18:09:15,2023-09-06 18:09:15,,,iMessage,Outgoing,,,Delivered,,,16.6,,
Apple,2023-09-06 18:10:13,,2023-09-06 18:10:14,,iMessage,Incoming,urn:biz:b15ed773-9eed-11e7-baa2-7b88b04daa8e,,Read,,,Thank you.,,
Apple,2023-09-06 18:10:58,,2023-09-06 18:10:58,,iMessage,Incoming,urn:biz:b15ed773-9eed-11e7-baa2-7b88b04daa8e,,Read,,,"Let’s try resetting your Beats and then testing them out after you reset them, to see if the issue is resolved. You can use the steps in this article to help you reset your Beats:   

https://support.apple.com/kb/HT208304 ",,
Apple,2023-09-06 18:13:57,2023-09-06 18:13:57,,,iMessage,Outgoing,,,Delivered,,,I have reset,,
Apple,2023-09-06 18:14:36,2023-09-06 18:14:36,,,iMessage,Outgoing,,,Delivered,,,How can I confirm anything changed,,
Apple,2023-09-06 18:14:47,,2023-09-06 18:14:48,,iMessage,Incoming,urn:biz:b15ed773-9eed-11e7-baa2-7b88b04daa8e,,Read,,,Great! Test them out for a bit to see if the issue persists.,,
Apple,2023-09-06 18:15:23,2023-09-06 18:15:23,,,iMessage,Outgoing,,,Delivered,,,I will need some time to test. Can I resume this chat with you later?,,
Apple,2023-09-06 18:16:31,,2023-09-06 19:02:05,,iMessage,Incoming,urn:biz:b15ed773-9eed-11e7-baa2-7b88b04daa8e,,Read,,,"Absolutely. This session will remain active for 48 hours, so you can just reply back to this message. ",,
Apple,2023-09-06 20:24:07,,2023-09-06 20:37:44,,iMessage,Incoming,urn:biz:b15ed773-9eed-11e7-baa2-7b88b04daa8e,,Read,,,"We've closed this conversation for now. If you still need help, just send us a message, and we can pick up where we left off.",,
Apple,2023-09-06 20:24:07,,2023-09-06 20:37:44,,iMessage,Incoming,urn:biz:b15ed773-9eed-11e7-baa2-7b88b04daa8e,,Read,,,"If there’s nothing else we can help you with right now, we'd love to hear how we did.",,
Apple,2023-09-06 20:24:08,,2023-09-06 20:37:44,,iMessage,Incoming,urn:biz:b15ed773-9eed-11e7-baa2-7b88b04daa8e,,Read,,,"https://feedback.applesurveys.com/jfe/form/SV_3yN4lnuWLdDt9Pw?Q_ULED=670aa0c3-16f7-4862-9bee-b0e0b54f5f34&pl=EN,FR-CA,ES",,
