Chat Session,Message Date,Delivered Date,Read Date,Edited Date,Service,Type,Sender ID,Sender Name,Status,Replying to,Subject,Text,Attachment,Attachment type
Park Mobile,2023-10-18 09:17:24,,2023-10-18 09:27:46,,SMS,Incoming,+16784986394,Park Mobile,Read,,,"ParkMobile again!  Your parking session for vehicle KSA1785 at zone # 2006, space # n/a will end at 9:32 AM,10/18/2023.",,
Park Mobile,2023-11-09 16:50:14,,2023-11-09 17:07:00,,SMS,Incoming,+16784986394,Park Mobile,Read,,,"ParkMobile again!  Your parking session for vehicle KSA1785 at zone # 2002, space # n/a will end at 5:05 PM,11/9/2023.",,
Park Mobile,2023-11-17 11:04:07,,2023-11-17 11:05:48,,SMS,Incoming,+16784986394,Park Mobile,Read,,,"Your parking session for vehicle KSA1785 at zone # 2014, space # n/a has ended. You've been charged $0.55 by ParkMobile.",,
Park Mobile,2023-11-24 11:05:29,,2023-11-24 11:11:44,,SMS,Incoming,+16789169446,Park Mobile,Read,,,"ParkMobile again!  Your parking session for vehicle KSA1785 at zone # 2002, space # n/a will end at 11:20 AM,11/24/2023.",,
Park Mobile,2023-11-29 09:13:34,,2023-11-29 09:16:32,,SMS,Incoming,+16789169446,Park Mobile,Read,,,"Your parking session for vehicle KSA1785 at zone # 2001, space # n/a has ended. You've been charged $0.70 by ParkMobile.",,
Park Mobile,2023-11-30 10:02:39,,2023-11-30 11:20:45,,SMS,Incoming,+16784986394,Park Mobile,Read,,,"ParkMobile again!  Your parking session for vehicle KSA1785 at zone # 2001, space # n/a will end at 10:17 AM,11/30/2023.",,
Park Mobile,2023-11-30 12:18:57,,2023-11-30 12:34:09,,SMS,Incoming,+16784986394,Park Mobile,Read,,,"Your parking session for vehicle KSA1785 at zone # 2001, space # n/a has ended. You've been charged $3.80 by ParkMobile.",,
Park Mobile,2023-12-05 15:20:03,,2023-12-05 15:24:29,,SMS,Incoming,+16789169446,Park Mobile,Read,,,"ParkMobile again!  Your parking session for vehicle KSA1785 at zone # 2001, space # n/a will end at 3:34 PM,12/5/2023.",,
Park Mobile,2023-12-05 17:35:02,,2023-12-05 18:02:11,,SMS,Incoming,+16784986394,Park Mobile,Read,,,"Your parking session for vehicle KSA1785 at zone # 2001, space # n/a has ended. You've been charged $4.85 by ParkMobile.",,
Park Mobile,2023-12-05 18:03:06,,2023-12-05 18:18:40,,SMS,Incoming,+16784986394,Park Mobile,Read,,,"ParkMobile again!  Your parking session for vehicle KSA1785 at zone # 2002, space # n/a will end at 6:18 PM,12/5/2023.",,
Park Mobile,2023-12-05 18:18:03,,2023-12-05 18:18:28,,SMS,Incoming,+16789169446,Park Mobile,Read,,,"Your parking session for vehicle KSA1785 at zone # 2002, space # n/a has ended. You've been charged $1.05 by ParkMobile.",,
