Chat Session,Message Date,Delivered Date,Read Date,Edited Date,Service,Type,Sender ID,Sender Name,Status,Replying to,Subject,Text,Attachment,Attachment type
Adams Weed Delivery,2021-05-28 13:47:34,,2021-05-28 13:58:36,,SMS,Incoming,+12159831199,Adams Weed Delivery,Read,,,"FREE GIFT with your purchase thru Saturday to celebrate LATER HOURS for summer! Same day ordering open until 8pm daily, delivering between 830-10pm. Thank you for being a valued client, from your friends at Adams Express! 😘",,
Adams Weed Delivery,2022-08-10 16:00:59,,,,SMS,Outgoing,,,Sent,,,"Hello, I'd like to place an order for the evening wave if possible. 

Steve 

246 N 3rd St, Philadelphia 

215 530 0545 ",,
Adams Weed Delivery,2022-08-10 16:04:31,,2022-08-10 16:04:39,,SMS,Incoming,+12159831199,Adams Weed Delivery,Read,,,"D4 menu 

3 Gram $60
Rainmaker (sativa)
Gary Payton (hybrid)
Ice cream cake (indica) 
Twilight (indica) 
Chem x Cookies (indica)

4 gram $60
Amethyst (sativa)

Carts $80

Element:
Sour D (sativa)
Lemon Haze (sat)
White cookies (ind)
Royal Gorilla (hy)
Mango Gelato (hy) 

Edibles $60
Dean and Deluca Gummies (500 mg)
-grapefruit bears
-black cherry bears 

Rocket Gummies 500 mg
-mixed fruit 

Rocket Chocolates 350 mg 
-coffee
-toffee 

:)NEW STOCK:) 3.5 gram Mushrooms $60
-Albino P.E. (B+/A grade)
‐Mexican Dutch King (A++ grade) 

Papa smurfs secret stash mushroom bars 3.5g $50
Coffee and donuts 

Psilo-vibin 6g Milk chocolate $80",,
Adams Weed Delivery,2022-08-10 16:07:45,,,,SMS,Outgoing,,,Sent,,,"Carts:
-Sour D
-Lemon Haze 

Flower:
- 9 grams of Rainmaker 
",,
Adams Weed Delivery,2022-08-10 16:21:52,,2022-08-10 16:21:56,,SMS,Incoming,+12159831199,Adams Weed Delivery,Read,,,"
Steve 

246 N 3rd St, Philadelphia 

215 530 0545 

Carts:
-Sour D
-Lemon Haze 

Flower:
‐3× Rainmaker ",,
Adams Weed Delivery,2022-08-10 16:24:38,,,,SMS,Outgoing,,,Sent,,,Great thanks. When is the next wave delivery just curious I'll head out to get cash so we are ready ,,
Adams Weed Delivery,2022-08-10 16:25:23,,2022-08-10 16:25:23,,SMS,Incoming,+12159831199,Adams Weed Delivery,Read,,,"
Steve 

246 N 3rd St, Philadelphia 

215 530 0545 

Carts:
-Sour D
-Lemon Haze 

Flower:
‐3× Rainmaker 


$340

Delivery by 6",,
Adams Weed Delivery,2022-08-10 16:25:40,,,,SMS,Outgoing,,,Sent,,,Nice thank you as always ,,
Adams Weed Delivery,2022-08-30 16:38:01,,,,SMS,Outgoing,,,Sent,,,"Hello, I'd like to place an order for the evening wave if possible. 

Steve 

246 N 3rd St, Philadelphia 

215 530 0545",,
Adams Weed Delivery,2022-08-30 16:43:50,,2022-08-30 16:44:34,,SMS,Incoming,+12159831199,Adams Weed Delivery,Read,,,"MENU E 

3 Gram $60
Rainmaker (sativa)
Biskante (sativa)
Gary Payton (hybrid)
Chen x cookies (indica)
Ice cream cake (indica) 

3.5g $60
log cabin (sativa) 

4 gram $60
Amethyst (sativa) 

Carts $80
Element:
Maui wowie (sativa)
Tropicana banana (sativa)
Lemon OG (sativa)
Golden goat (hybrid)
Royal Gorilla (hybrid)
Mango Gelato (hybrid)
White cookies (indica)
G13 (indica)
Innocent:
Ghost train (sativa)
9 pound Hammer (indica) 

Edibles $60
Dean and Deluca Gummies (500 mg)
-ruby red grapefruit bears
-black cherry bears
-chili peach rings 

Rocket Gummies 500 mg
-mixed fruit
-sour fruit 

Rocket Chocolates 350 mg 
-coffee
-m&m 

:)NEW STOCK:) 3.5 gram Mushrooms $60
-Albino P.E. (B+ grade)
‐Mexican Dutch King (A++ grade) 
-Thrasher (A+ grade)

Papa smurfs secret stash mushroom bars 3.5g $50
-Coffee and donuts 
-Reeses
-Oreo

Psilo-vibin 6g Milk chocolate $80",,
