Chat Session,Message Date,Delivered Date,Read Date,Edited Date,Service,Type,Sender ID,Sender Name,Status,Replying to,Subject,Text,Attachment,Attachment type
84519,2023-10-07 12:56:27,,2023-10-07 14:39:42,,SMS,Incoming,84519,,Read,,,(1/2)Welcome to Easy Kleen Laundromat notifications! Reply HELP for help or email info@easykleenlaundry.com. Msg Freq Varies. Reply STOP to cancel. Msg & Data r,,
84519,2023-10-07 12:56:28,,2023-10-07 14:39:42,,SMS,Incoming,84519,,Read,,,(2/2)ates may apply.,,
84519,2023-10-07 15:09:20,,2023-10-07 15:59:26,,SMS,Incoming,84519,,Read,,,Easy Kleen Laundromat: Your order has been completed and is ready for pickup. We are open from 6:00 AM to 10:00 PM. Order: #4559.,,
84519,2023-10-17 00:07:05,,2023-10-17 00:07:42,,SMS,Incoming,84519,,Read,,,Easy Kleen Laundromat: Your order has been created. Order: #4751. It is scheduled to be completed on 10/18.,,
84519,2023-10-17 09:07:00,,2023-10-17 09:51:45,,SMS,Incoming,84519,,Read,,,"Easy Kleen Laundromat: Your driver is en route and will arrive in approx 10 minutes. 
For questions call 7278649224. Do not reply to this message.",,
84519,2023-10-17 10:24:05,,2023-10-17 10:31:17,,SMS,Incoming,84519,,Read,,,"Easy Kleen Laundromat: Your driver is en route and will arrive in approx 17 minutes. 
For questions call 7278649224. Do not reply to this message.",,
84519,2023-10-17 10:44:26,,2023-10-17 15:07:31,,SMS,Incoming,84519,,Read,,,Easy Kleen Laundromat: Your order has been picked up. Order: #4751. For questions call 7278649224.,,
84519,2023-10-17 18:48:32,,2023-10-17 21:20:12,,SMS,Incoming,84519,,Read,,,Easy Kleen Laundromat: Your order has been completed and will be delivered 10/18 between 8:00 AM - 11:00 AM. Order: #4751.,,
84519,2023-10-18 10:49:20,,2023-10-18 10:56:05,,SMS,Incoming,84519,,Read,,,"Easy Kleen Laundromat: Your driver is en route and will arrive in approx 21 minutes. 
For questions call 7278649224. Do not reply to this message.",,
84519,2023-10-18 11:19:23,,2023-10-18 11:34:55,,SMS,Incoming,84519,,Read,,,Easy Kleen Laundromat: Your order has been delivered. Order: #4751. For questions call 7278649224.,,
