Chat Session,Message Date,Delivered Date,Read Date,Edited Date,Service,Type,Sender ID,Sender Name,Status,Replying to,Subject,Text,Attachment,Attachment type
Travis Golf Cart Repair & Melissa,2024-04-11 17:37:34,,,,SMS,Outgoing,,,Sent,,,Texting you Travis with my wife Melissa on group chat. I'm heading out but she's here and knows the scoop for Today ..cash and title swappage and what not . You can call her on her cell here if she doesn't hear the door knock,,
Travis Golf Cart Repair & Melissa,2024-04-11 17:51:01,,2024-04-11 17:53:09,,SMS,Incoming,+17277937648,Travis Golf Cart Repair,Read,,,Ok I can head that way shortly ,,
Travis Golf Cart Repair & Melissa,2024-04-11 17:53:15,,,,SMS,Outgoing,,,Sent,,,No rush ,,
Travis Golf Cart Repair & Melissa,2024-04-11 18:00:21,,2024-04-11 18:33:49,,SMS,Incoming,+17277937648,Travis Golf Cart Repair,Read,,,Ok,,
Travis Golf Cart Repair & Melissa,2024-04-11 18:23:13,,2024-04-11 18:33:49,,SMS,Incoming,+17277937648,Travis Golf Cart Repair,Read,,,Omw,,
Travis Golf Cart Repair & Melissa,2024-04-11 18:30:01,,2024-04-11 18:33:49,,SMS,Incoming,+17277937648,Travis Golf Cart Repair,Read,,,12 minutes out ,,
Travis Golf Cart Repair & Melissa,2024-04-11 18:40:27,,2024-04-11 19:09:09,,SMS,Incoming,+17277937648,Travis Golf Cart Repair,Read,,,Here,,
Travis Golf Cart Repair & Melissa,2024-04-11 18:49:46,,2024-04-11 19:09:09,,SMS,Incoming,+17277937648,Travis Golf Cart Repair,Read,,,"Okay, thanks again. If you have any questions or concerns, give me a call, please.",,
Travis Golf Cart Repair & Melissa,2024-04-11 19:09:35,,,,SMS,Outgoing,,,Sent,,,Ok thanks. We just go to DMV to get the license plate and we are all done correct?,,
Travis Golf Cart Repair & Melissa,2024-04-11 19:10:50,,2024-04-12 11:31:48,,SMS,Incoming,+17277937648,Travis Golf Cart Repair,Read,,,Yes,,
